SITE_ID,TIMESTAMP,NDVI
AR-SLu,2000-02-01,0.5716
AR-SLu,2000-03-01,0.5932
AR-SLu,2000-04-01,0.5705500000000001
AR-SLu,2000-05-01,0.5016
AR-SLu,2000-06-01,0.4433
AR-SLu,2000-07-01,0.3871
AR-SLu,2000-08-01,0.3481
AR-SLu,2000-09-01,0.32520000000000004
AR-SLu,2000-10-01,0.5081
AR-SLu,2000-11-01,0.528
AR-SLu,2000-12-01,0.43765
AR-SLu,2001-01-01,NA
AR-SLu,2001-02-01,0.48000000000000004
AR-SLu,2001-03-01,NA
AR-SLu,2001-04-01,NA
AR-SLu,2001-05-01,NA
AR-SLu,2001-06-01,NA
AR-SLu,2001-07-01,0.4116
AR-SLu,2001-08-01,0.43470000000000003
AR-SLu,2001-09-01,0.4415
AR-SLu,2001-10-01,0.6242
AR-SLu,2001-11-01,0.60545
AR-SLu,2001-12-01,NA
AR-SLu,2002-01-01,NA
AR-SLu,2002-02-01,NA
AR-SLu,2002-03-01,0.5605
AR-SLu,2002-04-01,0.5336000000000001
AR-SLu,2002-05-01,0.5222
AR-SLu,2002-06-01,0.4146
AR-SLu,2002-07-01,0.36195
AR-SLu,2002-08-01,0.339
AR-SLu,2002-09-01,0.33699999999999997
AR-SLu,2002-10-01,0.383
AR-SLu,2002-11-01,0.37650000000000006
AR-SLu,2002-12-01,0.5203500000000001
AR-SLu,2003-01-01,0.5646500000000001
AR-SLu,2003-02-01,0.4607
AR-SLu,2003-03-01,0.45775
AR-SLu,2003-04-01,0.46055
AR-SLu,2003-05-01,0.44465
AR-SLu,2003-06-01,0.42335
AR-SLu,2003-07-01,0.3677
AR-SLu,2003-08-01,0.34705
AR-SLu,2003-09-01,0.3155
AR-SLu,2003-10-01,0.3451
AR-SLu,2003-11-01,0.364
AR-SLu,2003-12-01,0.36945000000000006
AR-SLu,2004-01-01,0.42065
AR-SLu,2004-02-01,0.5147
AR-SLu,2004-03-01,0.5371
AR-SLu,2004-04-01,0.53315
AR-SLu,2004-05-01,0.52205
AR-SLu,2004-06-01,0.48050000000000004
AR-SLu,2004-07-01,0.42869999999999997
AR-SLu,2004-08-01,0.37585
AR-SLu,2004-09-01,0.39470000000000005
AR-SLu,2004-10-01,0.4403
AR-SLu,2004-11-01,0.4565
AR-SLu,2004-12-01,0.46045
AR-SLu,2005-01-01,0.5199
AR-SLu,2005-02-01,0.50205
AR-SLu,2005-03-01,0.5687
AR-SLu,2005-04-01,0.57015
AR-SLu,2005-05-01,0.5247
AR-SLu,2005-06-01,0.4667
AR-SLu,2005-07-01,0.4353
AR-SLu,2005-08-01,0.37945
AR-SLu,2005-09-01,0.3276
AR-SLu,2005-10-01,0.3295
AR-SLu,2005-11-01,0.4505
AR-SLu,2005-12-01,0.4786
AR-SLu,2006-01-01,0.47540000000000004
AR-SLu,2006-02-01,0.61375
AR-SLu,2006-03-01,0.5925
AR-SLu,2006-04-01,0.57025
AR-SLu,2006-05-01,0.53785
AR-SLu,2006-06-01,0.49135
AR-SLu,2006-07-01,0.42465
AR-SLu,2006-08-01,0.3659
AR-SLu,2006-09-01,0.34765
AR-SLu,2006-10-01,0.3924
AR-SLu,2006-11-01,0.42265
AR-SLu,2006-12-01,0.4652
AR-SLu,2007-01-01,0.5689500000000001
AR-SLu,2007-02-01,0.6009
AR-SLu,2007-03-01,0.61205
AR-SLu,2007-04-01,0.59125
AR-SLu,2007-05-01,0.5432000000000001
AR-SLu,2007-06-01,0.4902000000000001
AR-SLu,2007-07-01,0.4182
AR-SLu,2007-08-01,0.3678
AR-SLu,2007-09-01,0.36140000000000005
AR-SLu,2007-10-01,0.455
AR-SLu,2007-11-01,0.48240000000000005
AR-SLu,2007-12-01,0.4666
AR-SLu,2008-01-01,0.5237
AR-SLu,2008-02-01,0.627
AR-SLu,2008-03-01,0.60245
AR-SLu,2008-04-01,0.5435
AR-SLu,2008-05-01,0.4691
AR-SLu,2008-06-01,0.44475000000000003
AR-SLu,2008-07-01,0.4114
AR-SLu,2008-08-01,0.367
AR-SLu,2008-09-01,0.38330000000000003
AR-SLu,2008-10-01,0.4293
AR-SLu,2008-11-01,0.44270000000000004
AR-SLu,2008-12-01,0.56155
AR-SLu,2009-01-01,0.5517000000000001
AR-SLu,2009-02-01,0.51885
AR-SLu,2009-03-01,0.5269
AR-SLu,2009-04-01,0.48425
AR-SLu,2009-05-01,0.47530000000000006
AR-SLu,2009-06-01,0.43465
AR-SLu,2009-07-01,0.38175000000000003
AR-SLu,2009-08-01,0.32355
AR-SLu,2009-09-01,0.30620000000000003
AR-SLu,2009-10-01,0.30820000000000003
AR-SLu,2009-11-01,0.35155000000000003
AR-SLu,2009-12-01,0.52905
AR-SLu,2010-01-01,0.5273
AR-SLu,2010-02-01,0.5146999999999999
AR-SLu,2010-03-01,0.5233
AR-SLu,2010-04-01,0.48185
AR-SLu,2010-05-01,0.47630000000000006
AR-SLu,2010-06-01,0.47930000000000006
AR-SLu,2010-07-01,0.42210000000000003
AR-SLu,2010-08-01,0.35850000000000004
AR-SLu,2010-09-01,0.3763
AR-SLu,2010-10-01,0.4208
AR-SLu,2010-11-01,0.43595000000000006
AR-SLu,2010-12-01,0.4403
AR-SLu,2011-01-01,0.4615
AR-SLu,2011-02-01,0.55005
AR-SLu,2011-03-01,0.55175
AR-SLu,2011-04-01,0.5211000000000001
AR-SLu,2011-05-01,0.51735
AR-SLu,2011-06-01,0.49255000000000004
AR-SLu,2011-07-01,0.42335
AR-SLu,2011-08-01,0.35340000000000005
AR-SLu,2011-09-01,0.33710000000000007
AR-SLu,2011-10-01,0.43060000000000004
AR-SLu,2011-11-01,0.48915000000000003
AR-SLu,2011-12-01,0.5005000000000001
AR-SLu,2012-01-01,0.4842
AR-SLu,2012-02-01,0.54545
AR-SLu,2012-03-01,0.5294000000000001
AR-SLu,2012-04-01,0.58955
AR-SLu,2012-05-01,0.5587
AR-SLu,2012-06-01,0.47600000000000003
AR-SLu,2012-07-01,0.39585000000000004
AR-SLu,2012-08-01,0.4033
AR-SLu,2012-09-01,0.39415
AR-SLu,2012-10-01,0.43805000000000005
AR-SLu,2012-11-01,0.46640000000000004
AR-SLu,2012-12-01,0.44730000000000003
AR-SLu,2013-01-01,0.4444
AR-SLu,2013-02-01,0.4363
AR-SLu,2013-03-01,0.4525
AR-SLu,2013-04-01,0.51675
AR-SLu,2013-05-01,0.53365
AR-SLu,2013-06-01,0.4882000000000001
AR-SLu,2013-07-01,0.41775000000000007
AR-SLu,2013-08-01,0.36445000000000005
AR-SLu,2013-09-01,0.31985
AR-SLu,2013-10-01,0.3592
AR-SLu,2013-11-01,0.48825
AR-SLu,2013-12-01,0.4203
AR-SLu,2014-01-01,0.4413
AR-SLu,2014-02-01,0.4968
AR-SLu,2014-03-01,0.52295
AR-SLu,2014-04-01,0.5176000000000001
AR-SLu,2014-05-01,0.49955
AR-SLu,2014-06-01,0.42855
AR-SLu,2014-07-01,0.3691
AR-SLu,2014-08-01,0.33645
AR-SLu,2014-09-01,0.35905
AR-SLu,2014-10-01,0.44020000000000004
AR-SLu,2014-11-01,0.39125000000000004
AR-SLu,2014-12-01,0.4606
AR-Vir,2000-02-01,0.4813
AR-Vir,2000-03-01,0.7037500000000001
AR-Vir,2000-04-01,0.7866500000000001
